age,job,marital,marital_status,education,default,balance,housing,loan,contact,day,month,day_month,duration,campaign,pdays,previous,poutcome,y
58,management,married,married,tertiary,no,2143,yes,no,unknown,5,may,5-May,261,1,-1,0,unknown,no
44,technician,single,single,secondary,no,29,yes,no,unknown,5,may,5-May,151,1,-1,0,unknown,no
33,entrepreneur,married,married,secondary,no,2,yes,yes,unknown,5,may,5-May,76,1,-1,0,unknown,no
47,blue-collar,married,married,unknown,no,1506,yes,no,unknown,5,may,5-May,92,1,-1,0,unknown,no
33,unknown,single,single,unknown,no,1,no,no,unknown,5,may,5-May,198,1,-1,0,unknown,no
35,management,married,married,tertiary,no,231,yes,no,unknown,5,may,5-May,139,1,-1,0,unknown,no
28,management,single,single,tertiary,no,447,yes,yes,unknown,5,may,5-May,217,1,-1,0,unknown,no
42,entrepreneur,divorced,divorced,tertiary,yes,2,yes,no,unknown,5,may,5-May,380,1,-1,0,unknown,no
58,retired,married,married,primary,no,121,yes,no,unknown,5,may,5-May,50,1,-1,0,unknown,no
43,technician,single,single,secondary,no,593,yes,no,unknown,5,may,5-May,55,1,-1,0,unknown,no
41,admin.,divorced,divorced,secondary,no,270,yes,no,unknown,5,may,5-May,222,1,-1,0,unknown,no
29,admin.,single,single,secondary,no,390,yes,no,unknown,5,may,5-May,137,1,-1,0,unknown,no
53,technician,married,married,secondary,no,6,yes,no,unknown,5,may,5-May,517,1,-1,0,unknown,no
58,technician,married,married,unknown,no,71,yes,no,unknown,5,may,5-May,71,1,-1,0,unknown,no
57,services,married,married,secondary,no,162,yes,no,unknown,5,may,5-May,174,1,-1,0,unknown,no
51,retired,married,married,primary,no,229,yes,no,unknown,5,may,5-May,353,1,-1,0,unknown,no
45,admin.,single,single,unknown,no,13,yes,no,unknown,5,may,5-May,98,1,-1,0,unknown,no
57,blue-collar,married,married,primary,no,52,yes,no,unknown,5,may,5-May,38,1,-1,0,unknown,no
60,retired,married,married,primary,no,60,yes,no,unknown,5,may,5-May,219,1,-1,0,unknown,no
33,services,married,married,secondary,no,0,yes,no,unknown,5,may,5-May,54,1,-1,0,unknown,no
28,blue-collar,married,married,secondary,no,723,yes,yes,unknown,5,may,5-May,262,1,-1,0,unknown,no
56,management,married,married,tertiary,no,779,yes,no,unknown,5,may,5-May,164,1,-1,0,unknown,no
32,blue-collar,single,single,primary,no,23,yes,yes,unknown,5,may,5-May,160,1,-1,0,unknown,no
25,services,married,married,secondary,no,50,yes,no,unknown,5,may,5-May,342,1,-1,0,unknown,no
40,retired,married,married,primary,no,0,yes,yes,unknown,5,may,5-May,181,1,-1,0,unknown,no
44,admin.,married,married,secondary,no,-372,yes,no,unknown,5,may,5-May,172,1,-1,0,unknown,no
39,management,single,single,tertiary,no,255,yes,no,unknown,5,may,5-May,296,1,-1,0,unknown,no
52,entrepreneur,married,married,secondary,no,113,yes,yes,unknown,5,may,5-May,127,1,-1,0,unknown,no
46,management,single,single,secondary,no,-246,yes,no,unknown,5,may,5-May,255,2,-1,0,unknown,no
36,technician,single,single,secondary,no,265,yes,yes,unknown,5,may,5-May,348,1,-1,0,unknown,no
57,technician,married,married,secondary,no,839,no,yes,unknown,5,may,5-May,225,1,-1,0,unknown,no
49,management,married,married,tertiary,no,378,yes,no,unknown,5,may,5-May,230,1,-1,0,unknown,no
60,admin.,married,married,secondary,no,39,yes,yes,unknown,5,may,5-May,208,1,-1,0,unknown,no
59,blue-collar,married,married,secondary,no,0,yes,no,unknown,5,may,5-May,226,1,-1,0,unknown,no
51,management,married,married,tertiary,no,10635,yes,no,unknown,5,may,5-May,336,1,-1,0,unknown,no
57,technician,divorced,divorced,secondary,no,63,yes,no,unknown,5,may,5-May,242,1,-1,0,unknown,no
25,blue-collar,married,married,secondary,no,-7,yes,no,unknown,5,may,5-May,365,1,-1,0,unknown,no
53,technician,married,married,secondary,no,-3,no,no,unknown,5,may,5-May,1666,1,-1,0,unknown,no
36,admin.,divorced,divorced,secondary,no,506,yes,no,unknown,5,may,5-May,577,1,-1,0,unknown,no
37,admin.,single,single,secondary,no,0,yes,no,unknown,5,may,5-May,137,1,-1,0,unknown,no
44,services,divorced,divorced,secondary,no,2586,yes,no,unknown,5,may,5-May,160,1,-1,0,unknown,no
50,management,married,married,secondary,no,49,yes,no,unknown,5,may,5-May,180,2,-1,0,unknown,no
60,blue-collar,married,married,unknown,no,104,yes,no,unknown,5,may,5-May,22,1,-1,0,unknown,no
54,retired,married,married,secondary,no,529,yes,no,unknown,5,may,5-May,1492,1,-1,0,unknown,no
58,retired,married,married,unknown,no,96,yes,no,unknown,5,may,5-May,616,1,-1,0,unknown,no
36,admin.,single,single,primary,no,-171,yes,no,unknown,5,may,5-May,242,1,-1,0,unknown,no
58,self-employed,married,married,tertiary,no,-364,yes,no,unknown,5,may,5-May,355,1,-1,0,unknown,no
44,technician,married,married,secondary,no,0,yes,no,unknown,5,may,5-May,225,2,-1,0,unknown,no
55,technician,divorced,divorced,secondary,no,0,no,no,unknown,5,may,5-May,160,1,-1,0,unknown,no
29,management,single,single,tertiary,no,0,yes,no,unknown,5,may,5-May,363,1,-1,0,unknown,no
54,blue-collar,married,married,secondary,no,1291,yes,no,unknown,5,may,5-May,266,1,-1,0,unknown,no
48,management,divorced,divorced,tertiary,no,-244,yes,no,unknown,5,may,5-May,253,1,-1,0,unknown,no
32,management,married,married,tertiary,no,0,yes,no,unknown,5,may,5-May,179,1,-1,0,unknown,no
42,admin.,single,single,secondary,no,-76,yes,no,unknown,5,may,5-May,787,1,-1,0,unknown,no
24,technician,single,single,secondary,no,-103,yes,yes,unknown,5,may,5-May,145,1,-1,0,unknown,no
38,entrepreneur,single,single,tertiary,no,243,no,yes,unknown,5,may,5-May,174,1,-1,0,unknown,no
38,management,single,single,tertiary,no,424,yes,no,unknown,5,may,5-May,104,1,-1,0,unknown,no
47,blue-collar,married,married,unknown,no,306,yes,no,unknown,5,may,5-May,13,1,-1,0,unknown,no
40,blue-collar,single,single,unknown,no,24,yes,no,unknown,5,may,5-May,185,1,-1,0,unknown,no
46,services,married,married,primary,no,179,yes,no,unknown,5,may,5-May,1778,1,-1,0,unknown,no
32,admin.,married,married,tertiary,no,0,yes,no,unknown,5,may,5-May,138,1,-1,0,unknown,no
53,technician,divorced,divorced,secondary,no,989,yes,no,unknown,5,may,5-May,812,1,-1,0,unknown,no
57,blue-collar,married,married,primary,no,249,yes,no,unknown,5,may,5-May,164,1,-1,0,unknown,no
33,services,married,married,secondary,no,790,yes,no,unknown,5,may,5-May,391,1,-1,0,unknown,no
49,blue-collar,married,married,unknown,no,154,yes,no,unknown,5,may,5-May,357,1,-1,0,unknown,no
51,management,married,married,tertiary,no,6530,yes,no,unknown,5,may,5-May,91,1,-1,0,unknown,no
60,retired,married,married,tertiary,no,100,no,no,unknown,5,may,5-May,528,1,-1,0,unknown,no
59,management,divorced,divorced,tertiary,no,59,yes,no,unknown,5,may,5-May,273,1,-1,0,unknown,no
55,technician,married,married,secondary,no,1205,yes,no,unknown,5,may,5-May,158,2,-1,0,unknown,no
35,blue-collar,single,single,secondary,no,12223,yes,yes,unknown,5,may,5-May,177,1,-1,0,unknown,no
57,blue-collar,married,married,secondary,no,5935,yes,yes,unknown,5,may,5-May,258,1,-1,0,unknown,no
31,services,married,married,secondary,no,25,yes,yes,unknown,5,may,5-May,172,1,-1,0,unknown,no
54,management,married,married,secondary,no,282,yes,yes,unknown,5,may,5-May,154,1,-1,0,unknown,no
55,blue-collar,married,married,primary,no,23,yes,no,unknown,5,may,5-May,291,1,-1,0,unknown,no
43,technician,married,married,secondary,no,1937,yes,no,unknown,5,may,5-May,181,1,-1,0,unknown,no
53,technician,married,married,secondary,no,384,yes,no,unknown,5,may,5-May,176,1,-1,0,unknown,no
44,blue-collar,married,married,secondary,no,582,no,yes,unknown,5,may,5-May,211,1,-1,0,unknown,no
55,services,divorced,divorced,secondary,no,91,no,no,unknown,5,may,5-May,349,1,-1,0,unknown,no
49,services,divorced,divorced,secondary,no,0,yes,yes,unknown,5,may,5-May,272,1,-1,0,unknown,no
55,services,divorced,divorced,secondary,yes,1,yes,no,unknown,5,may,5-May,208,1,-1,0,unknown,no
45,admin.,single,single,secondary,no,206,yes,no,unknown,5,may,5-May,193,1,-1,0,unknown,no
47,services,divorced,divorced,secondary,no,164,no,no,unknown,5,may,5-May,212,1,-1,0,unknown,no
42,technician,single,single,secondary,no,690,yes,no,unknown,5,may,5-May,20,1,-1,0,unknown,no
59,admin.,married,married,secondary,no,2343,yes,no,unknown,5,may,5-May,1042,1,-1,0,unknown,yes
46,self-employed,married,married,tertiary,no,137,yes,yes,unknown,5,may,5-May,246,1,-1,0,unknown,no
51,blue-collar,married,married,primary,no,173,yes,no,unknown,5,may,5-May,529,2,-1,0,unknown,no
56,admin.,married,married,secondary,no,45,no,no,unknown,5,may,5-May,1467,1,-1,0,unknown,yes
41,technician,married,married,secondary,no,1270,yes,no,unknown,5,may,5-May,1389,1,-1,0,unknown,yes
